Surname,count,percent,min_rank,cume_dist
山岡,719,0.04025990315225523,448,0.6565256894985199
出口,716,0.04009192024619575,449,0.6594566077552098
瀬戸,716,0.04009192024619575,449,0.6594566077552098
小森,715,0.04003592594417592,451,0.6638529851402444
湯浅,715,0.04003592594417592,451,0.6638529851402444
福永,715,0.04003592594417592,451,0.6638529851402444
花田,714,0.039979931642156095,454,0.6653184442685893
平川,711,0.039811948736096614,455,0.6667839033969343
小坂,710,0.03975595443407679,456,0.6682493625252792
吉井,707,0.03958797152801731,457,0.6697148216536242
三谷,706,0.03953197722599748,458,0.672645739910314
手塚,706,0.03953197722599748,458,0.672645739910314
永野,697,0.03902802850781904,460,0.6770421172953486
三井,697,0.03902802850781904,460,0.6770421172953486
大槻,697,0.03902802850781904,460,0.6770421172953486
河原,696,0.03897203420579922,463,0.6785075764236935
大井,694,0.03886004560175957,464,0.6799730355520385
西原,693,0.03880405129973974,465,0.6829039538087283
林田,693,0.03880405129973974,465,0.6829039538087283
長島,691,0.03869206269570009,467,0.6843694129370732
徳田,690,0.03863606839368026,468,0.6887657903221078
二宮,690,0.03863606839368026,468,0.6887657903221078
日野,690,0.03863606839368026,468,0.6887657903221078
園田,687,0.038468085487620776,471,0.6902312494504528
川瀬,681,0.03813211967550182,472,0.6931621677071427
滝沢,681,0.03813211967550182,472,0.6931621677071427
柳田,679,0.03802013107146217,474,0.6946276268354876
岩瀬,678,0.03796413676944234,475,0.6975585450921774
茂木,678,0.03796413676944234,475,0.6975585450921774
根岸,675,0.037796153863382864,477,0.7019549224772121
沼田,675,0.037796153863382864,477,0.7019549224772121
長岡,675,0.037796153863382864,477,0.7019549224772121
金澤,674,0.037740159561363035,480,0.7034203816055571
谷本,673,0.037684165259343205,481,0.7048858407339019
富永,672,0.03762817095732338,482,0.7063512998622469
藤澤,668,0.03740419374924407,483,0.7078167589905917
西澤,667,0.03734819944722425,484,0.7107476772472815
川合,667,0.03734819944722425,484,0.7107476772472815
北島,665,0.0372362108431846,486,0.7122131363756266
福原,664,0.037180216541164775,487,0.7136785955039714
平林,662,0.037068227937125116,488,0.7151440546323163
大崎,661,0.03701223363510529,489,0.7166095137606612
藤森,660,0.036956239333085464,490,0.7210058911456959
難波,660,0.036956239333085464,490,0.7210058911456959
柳沢,660,0.036956239333085464,490,0.7210058911456959
鳥居,657,0.03678825642702598,493,0.7224713502740409
中沢,652,0.03650828491692685,494,0.7239368094023858
坪井,649,0.036340302010867374,495,0.7254022685307308
矢島,648,0.036284307708847545,496,0.7268677276590756
島崎,646,0.03617231910480789,497,0.7312641050441103
堀川,646,0.03617231910480789,497,0.7312641050441103
木原,646,0.03617231910480789,497,0.7312641050441103
高岡,645,0.03611632480278807,500,0.7327295641724552
長井,644,0.03606033050076825,501,0.7341950233008001
柳,643,0.03600433619874841,502,0.7356604824291451
荻原,640,0.03583635329268894,503,0.73712594155749
高見,638,0.03572436468864928,504,0.7385914006858348
久野,637,0.035668370386629455,505,0.7400568598141798
高村,635,0.035556381782589803,506,0.7415223189425246
毛利,633,0.03544439317855015,507,0.7429877780708696
高崎,631,0.0353324045745105,508,0.7444532371992145
米山,630,0.03527641027249067,509,0.7459186963275595
秋田,628,0.03516442166845102,510,0.7473841554559043
今泉,627,0.03510842736643119,511,0.7488496145842493
堀口,626,0.035052433064411366,512,0.751780532840939
柳澤,626,0.035052433064411366,512,0.751780532840939
三村,622,0.034828455856332055,514,0.7547114510976288
畑,622,0.034828455856332055,514,0.7547114510976288
岸田,621,0.03477246155431223,516,0.7605732876110085
橘,621,0.03477246155431223,516,0.7605732876110085
長澤,621,0.03477246155431223,516,0.7605732876110085
田畑,621,0.03477246155431223,516,0.7605732876110085
栗山,620,0.03471646725229241,520,0.7620387467393535
古屋,616,0.0344924900442131,521,0.7649696649960432
白川,616,0.0344924900442131,521,0.7649696649960432
植村,615,0.03443649574219328,523,0.7664351241243882
植木,611,0.034212518534113966,524,0.769366042381078
深澤,611,0.034212518534113966,524,0.769366042381078
吉永,610,0.03415652423209414,526,0.7766933380228025
真鍋,610,0.03415652423209414,526,0.7766933380228025
川野,610,0.03415652423209414,526,0.7766933380228025
村岡,610,0.03415652423209414,526,0.7766933380228025
